refind,label,description,class,notes
∅,,,,
101,chyahkyawn,wolf,anm,
102,hka,river,loc,
103,nga,fish,anm,
104,le,river bank of 102,loc,
105,sharam,otter,anm,
106,shara,place with a lot of fish,loc,
107,an,101 and 105,anm,
108,nga,the black-headed fish,anm,
109,sumwum,bush,loc,
110,sumru,bush vine,inm,
111,mayu,101's throat,bdp,
112,nga-nra,fish bone,inm,
113,hka-kau,river bank of 102,loc,
114,hka-u,water bird,anm,
115,ngup,101's mouth,bdp,
116,manu-jahpu,101's compensation for 114's help,abs,
117,baw,114's head,bdp,
118,n-hkru-n-kaja,those who are bad,hum,
201,mare,village,loc,
202,jahkrai-ma,orphan,hum,
203,dwi,grandmother of 202,hum,
204,dwi,202 and 203,hum,
206,ahpraw-nsam,appearance of 204,abs,
207,shan,skin of 204,bdp,
208,hpaji,knowledge,abs,
209,mare,villagers,hum,
210,ma,other children,hum,
211,lani,the day local kids went fishing,tme,
212,lasha,men of 201,hum,
213,nga,fish,anm,
214,nanhte,210 and 212,hum,
216,hka,river,loc,
217,nta,house of 204,loc,
218,lam,situation of 204,abs,
219,masha,other people,hum,
220,nga,fish,anm,
221,ma,a child,hum,
222,nam,forest,loc,
223,kawa,bamboo [without shells],inm,
224,nhtu,knife,inm,
225,kawa,bamboo that 202 cut,inm,
226,nga,very small fish,anm,
227,hkumpup,mud,loc,
228,hka,muddy water in the closed off part of 216,loc,
229,langai,one bamboo that 202 kept,inm,
230,namlap,leaf,inm,
231,hka,water inside 229,mss,
233,shara,place where 230 grew,loc,
234,garep,shelf where 203 put 230 to dry,loc,
235,gwi,a dog,anm,
236,ngup,235's mouth,bdp,
237,hpun,a tree,inm,
238,pawt,roots of 237,loc,
239,arung-arai,tools,inm,
240,langai,treasure,inm,
241,kahkum-si,pumpkin,inm,
242,tum,seed,inm,
243,kata,inside of 241,inm,
244,hkawhkam,the king and court,hum,
246,hkawhkam-wang,king's palace,loc,
247,hkrun-lam,202's journey to castle,abs,
248,hpaga-la,traders on the way to castle,hum,
249,hpaga-jum,salt traders,hum,
250,lam,the road,loc,
251,lamu,the sky,loc,
252,garai-wa,God,hum,
253,sinai,gatekeepers,hum,
254,gyidu,leaders of 253,hum,
255,baw,head of 202,bdp,
256,hkawhkamwa,the king,hum,
257,myihtoini,prophets,hum,
258,hpaji-salang,elders,hum,
259,nsam,appearance of 202,abs,
260,manu,price of 240,abs,
261,hpaji-ninghkring,one wise man from among 257/258,hum,
262,kara,hairs on 255,bdp,
263,dai,the palace delegation,hum,
264,dinggai,old women,hum,
265,langai,one of 264,hum,
266,ZERO,202 and 210,hum,
301,la,the two men,hum,
302,mare,a village,loc,
303,mare,the empty village,loc,
304,shan,one of 301,hum,
305,hkau,the other of 301,hum,
306,lupwa-kawng,cemetery hill,loc,
307,nta-shakrang,spoiled house,loc,
308,lup,grave,loc,
309,ntsa,top of 307,loc,
310,baw,head of 304,bdp,
311,ntsa,top of a tree,loc,
312,galang,mad eagles,anm,
313,jan,the sun,inm,
314,hpun,a tree,inm,
401,mare,the village,loc,
402,gaida-hkannu,the widow and her son,hum,
403,Ganu,the widow,hum,
404,gasha,the son of 403,hum,
405,Lani-mi,the day of the festival,tme,
406,shanhte,the villagers,hum,
407,nga-nawng-htawk-poi,the festival,abs,
408,nga-nawng,a fish pond,loc,
410,nga,fish,anm,
411,lusu,wealthy villagers,hum,
412,hka-hkingau,water shore,loc,
413,nga,big fish near 412,anm,
